batch: 0, bad_loss: 2.36, current_div_loss: 3.52, 
batch: 1, bad_loss: 2.76, current_div_loss: 3.53, 
batch: 2, bad_loss: 2.55, current_div_loss: 3.37, 
batch: 3, bad_loss: 2.94, current_div_loss: 3.40, 
batch: 4, bad_loss: 2.62, current_div_loss: 3.54, 
batch: 5, bad_loss: 2.28, current_div_loss: 3.61, 
batch: 6, bad_loss: 2.79, current_div_loss: 3.45, 
batch: 7, bad_loss: 2.66, current_div_loss: 3.28, 
batch: 8, bad_loss: 2.82, current_div_loss: 3.37, 
batch: 9, bad_loss: 2.85, current_div_loss: 3.56, 
batch: 10, bad_loss: 2.69, current_div_loss: 3.33, 
batch: 11, bad_loss: 2.67, current_div_loss: 3.42, 
batch: 12, bad_loss: 2.79, current_div_loss: 3.22, 
batch: 13, bad_loss: 2.90, current_div_loss: 3.41, 
batch: 14, bad_loss: 2.57, current_div_loss: 3.38, 
batch: 15, bad_loss: 2.30, current_div_loss: 3.35, 
batch: 16, bad_loss: 2.67, current_div_loss: 3.44, 
batch: 17, bad_loss: 2.61, current_div_loss: 3.35, 
batch: 18, bad_loss: 2.73, current_div_loss: 3.47, 
batch: 19, bad_loss: 2.52, current_div_loss: 3.45, 
batch: 20, bad_loss: 2.63, current_div_loss: 3.57, 
batch: 21, bad_loss: 1.50, current_div_loss: 3.37, 
batch: 22, bad_loss: 3.16, current_div_loss: 3.36, 
batch: 23, bad_loss: 2.92, current_div_loss: 3.60, 
batch: 24, bad_loss: 2.66, current_div_loss: 3.47, 
batch: 25, bad_loss: 2.51, current_div_loss: 3.44, 
batch: 26, bad_loss: 3.02, current_div_loss: 3.33, 
batch: 27, bad_loss: 2.64, current_div_loss: 3.51, 
batch: 28, bad_loss: 2.62, current_div_loss: 3.48, 
batch: 29, bad_loss: 3.09, current_div_loss: 3.44, 
batch: 30, bad_loss: 2.90, current_div_loss: 3.41, 
batch: 31, bad_loss: 2.49, current_div_loss: 3.42, 
batch: 32, bad_loss: 2.75, current_div_loss: 3.22, 
batch: 33, bad_loss: 2.54, current_div_loss: 3.71, 
