Asking to pad to max_length but no maximum length is provided and the model has no predefined maximum length. Default to no padding.
Asking to truncate to max_length but no maximum length is provided and the model has no predefined maximum length. Default to no truncation.
You're using a GPT2TokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
batch: 0, bad_loss: 1.94, current_div_loss: 3.66, 
batch: 1, bad_loss: 2.12, current_div_loss: 2.82, 
batch: 2, bad_loss: 2.96, current_div_loss: 3.07, 
batch: 3, bad_loss: 2.35, current_div_loss: 3.22, 
batch: 4, bad_loss: 2.21, current_div_loss: 3.50, 
batch: 5, bad_loss: 2.30, current_div_loss: 4.44, 
batch: 6, bad_loss: 2.37, current_div_loss: 3.07, 
batch: 7, bad_loss: 2.49, current_div_loss: 3.68, 
batch: 8, bad_loss: 2.59, current_div_loss: 3.90, 
batch: 9, bad_loss: 2.01, current_div_loss: 3.71, 
batch: 10, bad_loss: 2.45, current_div_loss: 2.95, 
batch: 11, bad_loss: 2.52, current_div_loss: 3.83, 
batch: 12, bad_loss: 2.35, current_div_loss: 3.12, 
batch: 13, bad_loss: 2.23, current_div_loss: 3.42, 
batch: 14, bad_loss: 1.17, current_div_loss: 3.23, 
batch: 15, bad_loss: 1.68, current_div_loss: 2.91, 
batch: 16, bad_loss: 1.84, current_div_loss: 4.45, 
batch: 17, bad_loss: 2.30, current_div_loss: 3.08, 
batch: 18, bad_loss: 2.54, current_div_loss: 3.29, 
batch: 19, bad_loss: 2.69, current_div_loss: 3.15, 
batch: 20, bad_loss: 2.98, current_div_loss: 3.87, 
batch: 21, bad_loss: 2.11, current_div_loss: 3.12, 
batch: 22, bad_loss: 2.52, current_div_loss: 3.20, 
batch: 23, bad_loss: 2.63, current_div_loss: 3.06, 
batch: 24, bad_loss: 2.14, current_div_loss: 3.61, 
batch: 25, bad_loss: 2.81, current_div_loss: 3.87, 
batch: 26, bad_loss: 2.69, current_div_loss: 3.10, 
batch: 27, bad_loss: 2.10, current_div_loss: 3.02, 
batch: 28, bad_loss: 2.05, current_div_loss: 3.28, 
batch: 29, bad_loss: 1.65, current_div_loss: 3.98, 
batch: 30, bad_loss: 2.56, current_div_loss: 3.11, 
batch: 31, bad_loss: 2.06, current_div_loss: 3.15, 
batch: 32, bad_loss: 2.45, current_div_loss: 2.50, 
batch: 33, bad_loss: 2.03, current_div_loss: 4.47, 
batch: 34, bad_loss: 1.96, current_div_loss: 2.93, 
batch: 35, bad_loss: 2.66, current_div_loss: 3.40, 
batch: 36, bad_loss: 2.37, current_div_loss: 3.09, 
batch: 37, bad_loss: 2.35, current_div_loss: 2.55, 
batch: 38, bad_loss: 2.43, current_div_loss: 3.38, 
batch: 39, bad_loss: 1.55, current_div_loss: 3.12, 
batch: 40, bad_loss: 1.52, current_div_loss: 3.23, 
batch: 41, bad_loss: 2.15, current_div_loss: 3.59, 
batch: 42, bad_loss: 2.23, current_div_loss: 2.36, 
batch: 43, bad_loss: 4.18, current_div_loss: 3.36, 
batch: 44, bad_loss: 2.34, current_div_loss: 3.47, 
batch: 45, bad_loss: 2.93, current_div_loss: 4.65, 
batch: 46, bad_loss: 2.55, current_div_loss: 3.30, 
batch: 47, bad_loss: 2.55, current_div_loss: 3.22, 
batch: 48, bad_loss: 2.61, current_div_loss: 2.86, 
batch: 49, bad_loss: 2.36, current_div_loss: 3.82, 
batch: 50, bad_loss: 1.98, current_div_loss: 3.80, 
batch: 51, bad_loss: 2.78, current_div_loss: 2.64, 
batch: 52, bad_loss: 2.48, current_div_loss: 3.22, 
batch: 53, bad_loss: 2.36, current_div_loss: 3.24, 
